step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
26,12.879998132661921,100016.5154792939,100016.5154792939,-1,0.8,1.0,0.17693715190143353,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2680780671671897,0.25,0.34878699760884047,0.0
27,13.09602756040892,100016.99944986614,100016.99944986614,2,0.2,1.0,0.16840473939722356,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.26451830546111943,0.25,0.48397057224065065,0.0
28,13.195130747346662,100017.19765624002,100017.19765624002,2,0.8,1.0,0.0926940503697322,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.25859333114762334,0.25,0.19820637388329487,0.0
29,13.624199383929671,100018.95579351316,100018.95579351316,-1,0.2,1.0,0.8034578114018717,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2767554804894316,0.25,1.7581372731365263,0.0
30,13.512503280424873,100019.66748961665,100019.66748961665,-2,0.4,1.0,0.32920585785293127,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2784474281463187,0.25,0.711696103491704,0.0
31,13.467880339945284,100020.55673549764,100020.55673549764,-6,0.4,0.995,0.3704682956081651,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.28132308025450137,0.25,0.8892458809859818,0.0
32,13.353317460714209,100022.10411277298,100022.10411277298,-3,0.20333333333333334,0.990025,0.6975439339256737,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.29393583339605206,0.25,1.547377275346662,0.0
33,13.050902989874778,100023.8113561855,100023.8113561855,-7,0.2,0.985074875,0.7563560368819081,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.30753642761622435,0.25,1.7072434125147993,0.0
34,12.933351638880286,100024.91992992816,100024.91992992816,-3,0.49142857142857144,0.9801495006250001,0.5277998490977085,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.313829668229981,0.25,1.1085737426619744,0.0
35,13.20721961847067,100024.3983259894,100024.3983259894,0,0.4,0.9752487531218751,-0.28180933931886337,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2972841402425131,0.25,-0.5216039387596538,0.0
36,13.58867232809883,100025.39832598946,100025.39832598946,-2,0.2,0.9703725093562657,0.40559878041066194,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.30021156294976037,0.25,1.0000000000582077,0.0
37,13.69674452261716,100025.48218160044,100025.48218160044,1,0.4,0.9655206468094844,0.013746977082897075,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.29267302121642186,0.25,0.08385561098111793,0.0
38,13.495302706570925,100025.98073978438,100025.98073978438,-2,0.4,0.960693043575437,0.20177124783543354,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.2903422065143452,0.25,0.49855818394280504,0.0
39,13.478970419018964,100026.41340435948,100026.41340435948,0,0.4,0.9558895783575597,0.2072950485236423,0.04693646497309485,0.6607955878857161,0.2453314821680941,0.04693646497309485,0.28826602756457764,0.25,0.43266457509889733,0.0
