step,mid_price,drl_profit,portfolio_value,drl_inventory,chosen_spread_width,epsilon,reward,egt_prop_aggressive,egt_prop_passive,egt_prop_random,egt_prop_momentum,rolling_avg_reward,egt_avg,drl_profit_change,egt_change
84,51.16499900817871,100046.89996936337,100046.89996936337,-6,0.3466666666666667,0.7628626641409962,0.16353362777410355,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2271271497548118,0.25,0.4416659800335765,0.0
85,51.130001068115234,100047.44329033708,100047.44329033708,-5,0.8133333333333334,0.7590483508202912,0.2540424849002995,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22744011876813142,0.25,0.5433209737093421,0.0
86,51.209999084472656,100047.54330025532,100047.54330025532,0,0.4,0.7552531090661897,0.018504771584728907,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2250385630533797,0.25,0.10000991824199446,0.0
87,51.329999923706055,100048.3433002553,100048.3433002553,0,0.4,0.7514768435208588,0.3675980991658274,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22665855778193025,0.25,0.7999999999883585,0.0
88,51.364999771118164,100048.84330025534,100048.84330025534,-3,0.2,0.7477194593032545,0.19889879201617733,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22634665030141615,0.25,0.5000000000291038,0.0
89,51.30999946594238,100049.10830117087,100049.10830117087,-2,0.4,0.7439808620067382,0.1256248154842316,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22522751880344744,0.25,0.2650009155331645,0.0
90,51.26999855041504,100049.68830300194,100049.68830300194,-3,0.4,0.7402609576967045,0.2592995012437662,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22560193619290148,0.25,0.5800018310692394,0.0
91,51.16250038146973,100050.91079750883,100050.91079750883,0,0.2,0.736559652908221,0.5401566903031056,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22902100960714283,0.25,1.2224945068883244,0.0
92,50.93000030517578,100051.71079750887,100051.71079750887,0,0.2,0.7328768546436799,0.3275979646278516,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.23008097686543005,0.25,0.8000000000465661,0.0
93,50.71750068664551,100052.51079750892,100052.51079750892,-8,0.4,0.7292124703704616,0.2899979326606653,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2307183912887836,0.25,0.8000000000465661,0.0
94,50.88999938964844,100051.1308078849,100051.1308078849,-8,0.44500000000000006,0.7255664080186093,-0.7324911388156324,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.22057934360347395,0.25,-1.3799896240234375,0.0
95,50.989999771118164,100050.83830483315,100050.83830483315,-9,0.34750000000000003,0.7219385759785162,-0.22149829372045934,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.215974368214683,0.25,-0.2925030517508276,0.0
96,51.002498626708984,100051.30803735506,100051.30803735506,-7,0.23555555555555557,0.7183288830986236,0.15697817459885224,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2153661600330765,0.25,0.46973252191673964,0.0
97,51.03750038146973,100051.48302507174,100051.48302507174,-10,0.3542857142857143,0.7147372386831305,0.004208348236290082,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.21321148848412969,0.25,0.17498771667305846,0.0
98,51.05994987487793,100052.15853013768,100052.15853013768,-6,0.5,0.7111635524897149,0.274728320342873,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.213832870624117,0.25,0.6755050659412518,0.0
99,51.02504920959473,100052.70126746272,100052.70126746272,-4,0.4066666666666667,0.7076077347272662,0.25194760113182524,0.014645002706995815,0.7091605811574269,0.27566810935313857,0.0005263067824387282,0.2142140179291941,0.25,0.5427373250422534,0.0
100,50.99250030517578,100053.63146308038,100053.63146308038,-6,0.4,0.7040696960536299,0.41114633708708187,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21358448129988855,0.24999999999999997,0.9301956176641397,-2.7755575615628914e-17
101,50.98520088195801,100054.34192628635,100054.34192628635,-4,0.8133333333333334,0.7005493475733617,0.3373153482071113,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2141367315986025,0.24999999999999997,0.710463205963606,0.0
102,50.91749954223633,100055.01273164524,100055.01273164524,-4,0.4,0.697046600835495,0.31075488458935513,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21626410062312032,0.24999999999999997,0.6708053588954499,0.0
103,50.88249969482422,100055.15273103489,100055.15273103489,-4,0.8,0.6935613678313175,0.061899306896748905,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21726671596029123,0.24999999999999997,0.1399993896484375,0.0
104,50.77499961853027,100055.58273134007,100055.58273134007,-4,0.8,0.6900935609921609,0.20834896898284277,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21602333001922788,0.24999999999999997,0.43000030517578125,0.0
105,50.767499923706055,100056.61273011942,100056.61273011942,-2,0.2,0.6866430931872001,0.42674652265722096,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2211565640965845,0.24999999999999997,1.0299987793550827,0.0
106,50.83250045776367,100057.58272905137,100057.58272905137,-7,0.2,0.6832098777212641,0.3546467164732979,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21983942707008355,0.24999999999999997,0.969998931948794,0.0
107,50.775001525878906,100058.19950728885,100058.19950728885,-6,0.3542857142857143,0.6797938283326578,0.2846998065908557,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21623438025992936,0.24999999999999997,0.6167782374832314,0.0
108,50.744998931884766,100058.71285618615,100058.71285618615,-5,0.8133333333333334,0.6763948591909945,0.23890636683604957,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21561676514124137,0.24999999999999997,0.5133488972933264,0.0
109,50.776451110839844,100059.45559529142,100059.45559529142,-6,0.2,0.6730128848950395,0.26668106902760325,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.21826357583151743,0.24999999999999997,0.7427391052769963,0.0
110,50.85000038146973,100059.01429966764,100059.01429966764,-6,0.8133333333333334,0.6696478204705644,-0.2430529789133638,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2119570484651317,0.24999999999999997,-0.4412956237792969,0.0
111,50.829999923706055,100059.46763574754,100059.46763574754,-2,0.44333333333333336,0.6662995813682115,0.2002000501375124,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.210591051708993,0.24999999999999997,0.45333607989596203,0.0
112,50.8075008392334,100060.11263391652,100060.11263391652,-4,0.2,0.6629680834613705,0.25812215864901905,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.20667226971428548,0.24999999999999997,0.6449981689802371,0.0
113,50.90500068664551,100060.42263452691,100060.42263452691,-9,0.2,0.6596532430440636,0.043149377060216695,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.20705480388997574,0.24999999999999997,0.31000061039230786,0.0
114,51.01250076293945,100059.62180050694,100059.62180050694,-8,0.3466666666666667,0.6563549768288433,-0.44668542878946416,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.203169473716369,0.24999999999999997,-0.8008340199739905,0.0
115,50.997501373291016,100059.74179562413,100059.74179562413,-8,0.8900000000000001,0.653073201944699,0.024997176676590342,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.20094009945400276,0.24999999999999997,0.1199951171875,0.0
116,50.927350997924805,100060.80299862706,100060.80299862706,0,0.22250000000000003,0.6498078359349755,0.482904348463476,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2012172879856812,0.24999999999999997,1.0612030029296875,0.0
117,51.020050048828125,100061.00299862705,100061.00299862705,1,0.4,0.6465587967553006,0.08919939233801981,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2004239535375852,0.24999999999999997,0.19999999999708962,0.0
118,51.095001220703125,100061.77794979895,100061.77794979895,-2,0.4,0.6433260027715241,0.3413479795338982,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.2007526160295509,0.24999999999999997,0.7749511719011934,0.0
119,51.102500915527344,100061.7629504093,100061.7629504093,-2,0.4,0.6401093727576664,-0.008974645469488927,0.026435989482048634,0.8802766432813641,0.09209630466766817,0.001191062568919014,0.19859794151944046,0.24999999999999997,-0.0149993896484375,0.0
